Occupation,Factor,Mean,Major?, 
Woodworkers,0.65,"$32,900 ",,
Cabinetmakers and Bench Carpenters,0.706,"$35,740 ",,
Furniture Finishers,0.655,"$33,170 ",,
"Model Makers and Patternmakers, Wood",1.025,"$51,880 ",,
"Model Makers, Wood",1.027,"$52,000 ",,
"Patternmakers, Wood",1.023,"$51,760 ",,
"Woodworking Machine Setters, Operators, and Tenders",0.602,"$30,490 ",,
"Sawing Machine Setters, Operators, and Tenders, Wood",0.606,"$30,670 ",,
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.6,"$30,370 ",,
"Woodworkers, All Other",0.665,"$33,650 ",,
Plant and System Operators,1.199,"$60,700 ",,
"Power Plant Operators, Distributors, and Dispatchers",1.572,"$79,560 ",,
Nuclear Power Reactor Operators,1.864,"$94,350 ",,
Power Distributors and Dispatchers,1.626,"$82,310 ",,
Power Plant Operators,1.501,"$75,970 ",,
Stationary Engineers and Boiler Operators,1.239,"$62,710 ",,
Water and Wastewater Treatment Plant and System Operators,0.954,"$48,290 ",,
Miscellaneous Plant and System Operators,1.282,"$64,920 ",,
Chemical Plant and System Operators,1.217,"$61,620 ",,
Gas Plant Operators,1.375,"$69,600 ",,
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",1.347,"$68,190 ",,
"Plant and System Operators, All Other",1.129,"$57,150 ",,
Other Production Occupations,0.71,"$35,940 ",,
"Chemical Processing Machine Setters, Operators, and Tenders",0.94,"$47,560 ",,
Chemical Equipment Operators and Tenders,1.001,"$50,690 ",,
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.84,"$42,540 ",,
"Crushing, Grinding, Polishing, Mixing, and Blending Workers",0.735,"$37,230 ",,
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.735,"$37,220 ",,
"Grinding and Polishing Workers, Hand",0.609,"$30,840 ",,
"Mixing and Blending Machine Setters, Operators, and Tenders",0.765,"$38,730 ",,
Cutting Workers,0.67,"$33,910 ",,
"Cutters and Trimmers, Hand",0.6,"$30,360 ",,
"Cutting and Slicing Machine Setters, Operators, and Tenders",0.684,"$34,630 ",,
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.7,"$35,430 ",,
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.776,"$39,280 ",,
"Inspectors, Testers, Sorters, Samplers, and Weighers",0.811,"$41,040 ",,
Jewelers and Precious Stone and Metal Workers,0.833,"$42,180 ",,
"Medical, Dental, and Ophthalmic Laboratory Technicians",0.765,"$38,710 ",,
Dental Laboratory Technicians,0.83,"$41,990 ",,
Medical Appliance Technicians,0.799,"$40,460 ",,
Ophthalmic Laboratory Technicians,0.672,"$34,030 ",,
Packaging and Filling Machine Operators and Tenders,0.632,"$31,990 ",,
Painting Workers,0.773,"$39,150 ",,
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.705,"$35,670 ",,
"Painters, Transportation Equipment",0.916,"$46,380 ",,
"Painting, Coating, and Decorating Workers",0.654,"$33,090 ",,
Semiconductor Processors,0.768,"$38,860 ",,
Photographic Process Workers and Processing Machine Operators,0.649,"$32,870 ",,
Miscellaneous Production Workers,0.627,"$31,720 ",,
Adhesive Bonding Machine Operators and Tenders,0.684,"$34,630 ",,
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.637,"$32,270 ",,
Cooling and Freezing Equipment Operators and Tenders,0.664,"$33,590 ",,
Etchers and Engravers,0.669,"$33,860 ",,
"Molders, Shapers, and Casters, Except Metal and Plastic",0.668,"$33,810 ",,
"Paper Goods Machine Setters, Operators, and Tenders",0.786,"$39,770 ",,
Tire Builders,0.829,"$41,980 ",,
Helpers--Production Workers,0.555,"$28,070 ",,
"Production Workers, All Other",0.65,"$32,910 ",,
Transportation and Material Moving Occupations,0.732,"$37,070 ",*,
Supervisors of Transportation and Material Moving Workers,1.113,"$56,330 ",,
Aircraft Cargo Handling Supervisors,1.046,"$52,970 ",,
"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",1.114,"$56,400 ",,
Air Transportation Workers,1.914,"$96,890 ",,
Aircraft Pilots and Flight Engineers,2.74,"$138,690 ",,
"Airline Pilots, Copilots, and Flight Engineers",3.186,"$161,280 ",,
Commercial Pilots,1.765,"$89,350 ",,
Air Traffic Controllers and Airfield Operations Specialists,2,"$101,240 ",,
Air Traffic Controllers,2.376,"$120,260 ",,
Airfield Operations Specialists,1.107,"$56,060 ",,
Flight Attendants,1.04,"$52,660 ",,
Motor Vehicle Operators,0.755,"$38,210 ",,
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.528,"$26,740 ",,
Bus Drivers,0.691,"$35,000 ",,
"Bus Drivers, Transit and Intercity",0.855,"$43,290 ",,
"Bus Drivers, School or Special Client",0.635,"$32,130 ",,
Driver/Sales Workers and Truck Drivers,0.786,"$39,790 ",,
Driver/Sales Workers,0.575,"$29,090 ",,
Heavy and Tractor-Trailer Truck Drivers,0.879,"$44,500 ",,
Light Truck or Delivery Services Drivers,0.703,"$35,610 ",,
Taxi Drivers and Chauffeurs,0.543,"$27,480 ",,
"Motor Vehicle Operators, All Other",0.646,"$32,690 ",,
Rail Transportation Workers,1.243,"$62,900 ",,
Locomotive Engineers and Operators,1.262,"$63,890 ",,
Locomotive Engineers,1.303,"$65,980 ",,
Locomotive Firers,1.229,"$62,220 ",,
"Rail Yard Engineers, Dinkey Operators, and Hostlers",1.026,"$51,930 ",,
"Railroad Brake, Signal, and Switch Operators",1.156,"$58,500 ",,
Railroad Conductors and Yardmasters,1.252,"$63,370 ",,
Subway and Streetcar Operators,1.263,"$63,950 ",,
"Rail Transportation Workers, All Other",1.184,"$59,950 ",,
Water Transportation Workers,1.298,"$65,720 ",,
Sailors and Marine Oilers,0.92,"$46,560 ",,
Ship and Boat Captains and Operators,1.554,"$78,670 ",,
"Captains, Mates, and Pilots of Water Vessels",1.6,"$80,970 ",,
Motorboat Operators,0.906,"$45,870 ",,
Ship Engineers,1.54,"$77,970 ",,
Other Transportation Workers,0.621,"$31,440 ",,
Bridge and Lock Tenders,0.934,"$47,280 ",,
Parking Lot Attendants,0.481,"$24,330 ",,
Automotive and Watercraft Service Attendants,0.496,"$25,100 ",,
Traffic Technicians,0.974,"$49,290 ",,
Transportation Inspectors,1.456,"$73,720 ",,
"Transportation Attendants, Except Flight Attendants",0.628,"$31,800 ",,
"Transportation Workers, All Other",0.791,"$40,050 ",,
Material Moving Workers,0.599,"$30,320 ",,
Conveyor Operators and Tenders,0.681,"$34,480 ",,
Crane and Tower Operators,1.1,"$55,690 ",,
"Dredge, Excavating, and Loading Machine Operators",0.929,"$47,010 ",,
Dredge Operators,0.915,"$46,340 ",,
Excavating and Loading Machine and Dragline Operators,0.924,"$46,780 ",,
"Loading Machine Operators, Underground Mining",1.023,"$51,780 ",,
Hoist and Winch Operators,1.085,"$54,910 ",,
Industrial Truck and Tractor Operators,0.699,"$35,370 ",,
"Laborers and Material Movers, Hand",0.564,"$28,550 ",,
Cleaners of Vehicles and Equipment,0.509,"$25,770 ",,
"Laborers and Freight, Stock, and Material Movers, Hand",0.587,"$29,690 ",,
Machine Feeders and Offbearers,0.607,"$30,710 ",,
"Packers and Packagers, Hand",0.502,"$25,410 ",,
Pumping Station Operators,1.021,"$51,660 ",,
Gas Compressor and Gas Pumping Station Operators,1.224,"$61,960 ",,
"Pump Operators, Except Wellhead Pumpers",0.929,"$47,040 ",,
Wellhead Pumpers,1.049,"$53,120 ",,
Refuse and Recyclable Material Collectors,0.769,"$38,920 ",,
Mine Shuttle Car Operators,1.116,"$56,510 ",,
"Tank Car, Truck, and Ship Loaders",0.796,"$40,290 ",,
"Material Moving Workers, All Other",0.704,"$35,620 ",,
