Occupation,Factor,Mean,Major?, 
"Community and Social Service Specialists, All Other",0.885,"$44,780 ",,
Religious Workers,0.946,"$47,880 ",,
Clergy,1.004,"$50,800 ",,
"Directors, Religious Activities and Education",0.898,"$45,470 ",,
"Religious Workers, All Other",0.719,"$36,380 ",,
Legal Occupations,2.121,"$107,370 ",*,
"Lawyers, Judges, and Related Workers",2.719,"$137,660 ",,
Lawyers and Judicial Law Clerks,2.764,"$139,900 ",,
Lawyers,2.803,"$141,890 ",,
Judicial Law Clerks,1.144,"$57,920 ",,
"Judges, Magistrates, and Other Judicial Workers",2.14,"$108,340 ",,
"Administrative Law Judges, Adjudicators, and Hearing Officers",1.942,"$98,280 ",,
"Arbitrators, Mediators, and Conciliators",1.443,"$73,020 ",,
"Judges, Magistrate Judges, and Magistrates",2.391,"$121,050 ",,
Legal Support Workers,1.093,"$55,330 ",,
Paralegals and Legal Assistants,1.065,"$53,910 ",,
Miscellaneous Legal Support Workers,1.166,"$59,000 ",,
Court Reporters,1.186,"$60,060 ",,
"Title Examiners, Abstractors, and Searchers",1.011,"$51,180 ",,
"Legal Support Workers, All Other",1.343,"$67,960 ",,
"Education, Training, and Library Occupations",1.096,"$55,470 ",*,
Postsecondary Teachers,1.637,"$82,880 ",,
"Business Teachers, Postsecondary",1.981,"$100,270 ",,
"Math and Computer Teachers, Postsecondary",1.726,"$87,380 ",,
"Computer Science Teachers, Postsecondary",1.809,"$91,590 ",,
"Mathematical Science Teachers, Postsecondary",1.673,"$84,710 ",,
"Engineering and Architecture Teachers, Postsecondary",2.109,"$106,770 ",,
"Architecture Teachers, Postsecondary",1.798,"$91,000 ",,
"Engineering Teachers, Postsecondary",2.17,"$109,830 ",,
"Life Sciences Teachers, Postsecondary",1.833,"$92,790 ",,
"Agricultural Sciences Teachers, Postsecondary",1.811,"$91,690 ",,
"Biological Science Teachers, Postsecondary",1.837,"$93,010 ",,
"Forestry and Conservation Science Teachers, Postsecondary",1.841,"$93,200 ",,
"Physical Sciences Teachers, Postsecondary",1.872,"$94,740 ",,
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.947,"$98,560 ",,
"Chemistry Teachers, Postsecondary",1.79,"$90,610 ",,
"Environmental Science Teachers, Postsecondary",1.732,"$87,660 ",,
"Physics Teachers, Postsecondary",1.999,"$101,190 ",,
"Social Sciences Teachers, Postsecondary",1.77,"$89,600 ",,
"Anthropology and Archeology Teachers, Postsecondary",1.847,"$93,500 ",,
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.646,"$83,330 ",,
"Economics Teachers, Postsecondary",2.268,"$114,820 ",,
"Geography Teachers, Postsecondary",1.735,"$87,810 ",,
"Political Science Teachers, Postsecondary",1.948,"$98,620 ",,
"Psychology Teachers, Postsecondary",1.68,"$85,050 ",,
"Sociology Teachers, Postsecondary",1.656,"$83,840 ",,
"Social Sciences Teachers, Postsecondary, All Other",1.562,"$79,050 ",,
"Health Teachers, Postsecondary",2.228,"$112,770 ",,
"Health Specialties Teachers, Postsecondary",2.428,"$122,890 ",,
"Nursing Instructors and Teachers, Postsecondary",1.528,"$77,360 ",,
"Education and Library Science Teachers, Postsecondary",1.432,"$72,510 ",,
"Education Teachers, Postsecondary",1.43,"$72,410 ",,
"Library Science Teachers, Postsecondary",1.456,"$73,680 ",,
"Law, Criminal Justice, and Social Work Teachers, Postsecondary",1.861,"$94,200 ",,
"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.363,"$68,980 ",,
"Law Teachers, Postsecondary",2.565,"$129,840 ",,
"Social Work Teachers, Postsecondary",1.473,"$74,560 ",,
"Arts, Communications, and Humanities Teachers, Postsecondary",1.544,"$78,160 ",,
"Art, Drama, and Music Teachers, Postsecondary",1.555,"$78,720 ",,
"Communications Teachers, Postsecondary",1.494,"$75,640 ",,
"English Language and Literature Teachers, Postsecondary",1.534,"$77,660 ",,
"Foreign Language and Literature Teachers, Postsecondary",1.5,"$75,950 ",,
"History Teachers, Postsecondary",1.638,"$82,900 ",,
"Philosophy and Religion Teachers, Postsecondary",1.556,"$78,790 ",,
Miscellaneous Postsecondary Teachers,1.166,"$59,000 ",,
Graduate Teaching Assistants,0.745,"$37,720 ",,
"Home Economics Teachers, Postsecondary",1.525,"$77,220 ",,
"Recreation and Fitness Studies Teachers, Postsecondary",1.374,"$69,560 ",,
"Vocational Education Teachers, Postsecondary",1.119,"$56,630 ",,
"Postsecondary Teachers, All Other",1.474,"$74,630 ",,
"Preschool, Primary, Secondary, and Special Education School Teachers",1.161,"$58,780 ",,
Preschool and Kindergarten Teachers,0.782,"$39,600 ",,
"Preschool Teachers, Except Special Education",0.664,"$33,590 ",,
"Kindergarten Teachers, Except Special Education",1.128,"$57,110 ",,
Elementary and Middle School Teachers,1.203,"$60,900 ",,
"Elementary School Teachers, Except Special Education",1.202,"$60,830 ",,
"Middle School Teachers, Except Special and Career/Technical Education",1.206,"$61,040 ",,
"Career/Technical Education Teachers, Middle School",1.218,"$61,680 ",,
Secondary School Teachers,1.239,"$62,730 ",,
"Secondary School Teachers, Except Special and Career/Technical Education",1.242,"$62,860 ",,
"Career/Technical Education Teachers, Secondary School",1.205,"$61,010 ",,
Special Education Teachers,1.237,"$62,640 ",,
"Special Education Teachers, Preschool",1.153,"$58,390 ",,
"Special Education Teachers, Kindergarten and Elementary School",1.224,"$61,960 ",,
"Special Education Teachers, Middle School",1.25,"$63,250 ",,
"Special Education Teachers, Secondary School",1.276,"$64,590 ",,
"Special Education Teachers, All Other",1.2,"$60,750 ",,
Other Teachers and Instructors,0.776,"$39,290 ",,
Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.122,"$56,800 ",,
Self-Enrichment Education Teachers,0.882,"$44,630 ",,
Miscellaneous Teachers and Instructors,0.725,"$36,700 ",,
"Teachers and Instructors, All Other, Except Substitute Teachers",0.938,"$47,490 ",,
Substitute Teachers,0.622,"$31,510 ",,
"Librarians, Curators, and Archivists",0.998,"$50,540 ",,
"Archivists, Curators, and Museum Technicians",1.036,"$52,450 ",,
Archivists,1.096,"$55,470 ",,
Curators,1.162,"$58,830 ",,
Museum Technicians and Conservators,0.888,"$44,970 ",,
Librarians,1.2,"$60,760 ",,
Library Technicians,0.702,"$35,510 ",,
"Other Education, Training, and Library Occupations",0.658,"$33,320 ",,
Audio-Visual and Multimedia Collections Specialists,1.013,"$51,290 ",,
Farm and Home Management Advisors,1.032,"$52,220 ",,
Instructional Coordinators,1.317,"$66,680 ",,
Teacher Assistants,0.552,"$27,950 ",,
"Education, Training, and Library Workers, All Other",0.932,"$47,200 ",,
"Arts, Design, Entertainment, Sports, and Media Occupations",1.165,"$58,950 ",*,
Art and Design Workers,1.065,"$53,910 ",,
Artists and Related Workers,1.638,"$82,900 ",,
Art Directors,2.045,"$103,510 ",,
Craft Artists,0.814,"$41,180 ",,
"Fine Artists, Including Painters, Sculptors, and Illustrators",1.136,"$57,520 ",,
Multimedia Artists and Animators,1.512,"$76,560 ",,
"Artists and Related Workers, All Other",1.315,"$66,590 ",,
Designers,0.962,"$48,720 ",,
Commercial and Industrial Designers,1.394,"$70,540 ",,
Fashion Designers,1.558,"$78,870 ",,
Floral Designers,0.557,"$28,220 ",,
Graphic Designers,1.053,"$53,280 ",,
Interior Designers,1.15,"$58,210 ",,
Merchandise Displayers and Window Trimmers,0.611,"$30,940 ",,
Set and Exhibit Designers,1.177,"$59,590 ",,
"Designers, All Other",1.312,"$66,400 ",,
"Entertainers and Performers, Sports and Related Workers",1.183,"$59,860 ",,
"Actors, Producers, and Directors",1.674,"$84,740 ",,
Actors,0,-4,,
Producers and Directors,1.793,"$90,770 ",,
"Athletes, Coaches, Umpires, and Related Workers",0.868,"$43,940 ",,
Athletes and Sports Competitors,1.744,"$88,300 ",,
